star,hub_num,hub_influence
李晨,0.00904544787495,0.0242086664586
御史在途,0.0118980030514,0.00114213597797
郭斯特,0.000104531409023,0.000759106236852
苏芩,0.00202085188091,0.00331354145215
十年砍柴,0.0193170777816,0.00194874421984
周扬青,0.000257249893739,0.000203750041564
胡德平,0.000104531409023,0.000219127594854
angelababy,0.00217475988405,0.0106984035867
王石,0.00516985081208,0.00395471392975
于丹,0.000312887040544,2.04321535043e-05
张杰,0.000773863165063,0.0215244759424
余承东,0.0013909181921,0.000214663760914
蒋方舟,0.00244840822072,0.00119394279452
八卦_我实在是太CJ了,0.00112397247597,0.0036196560784
俞敏洪,0.000314018709098,0.000623536653331
刘兴亮,0.00270575528944,3.4993267899e-05
戚薇,0.000724831588461,0.00179488282831
于嘉,0.00150767892624,0.00112742592822
郎永淳,0.000438516681993,5.73340060585e-05
佟丽娅,0.00273506814471,0.00570817310081
高晓松,0.000453486778627,0.00104367319916
柳岩,0.000410812879364,0.0010803337349
巴曙松,0.000810378248902,8.32755170124e-05
papi酱,4.90315766014e-05,0.000153742563309
留几手,0.000271534852826,0.00424306761737
杨建国,0.00259153218597,1.76731704638e-05
李亦非,0.000878987484471,0.000169772968315
罗振宇,0.000414730406657,0.000142908735212
冯小刚,0.000306281470341,0.00190977093701
张颐武,0.00132015194532,6.0987301739e-05
思想聚焦,0.000467157212692,0.00233728955496
张欣,0.00252768877288,0.00145957393193
贾樟柯,0.0101025306473,0.00209927265615
当当李国庆,0.00719117731668,0.00177163278638
陈东有,0.0032895932871,1.8004916797e-05
王珞丹,0.000514499787479,0.00070392148316
老沉,0.0903186052185,0.0141703768269
张醒生,0.00549996212979,0.00204837888443
加藤嘉一,0.000257249893739,0.000200999521792
崔永元,0.000460688956872,0.000170308192648
林心如,0.000104531409023,5.18166399758e-05
同道大叔,5.67688153583e-05,0.000264272415855
章诒和,0.00426921695911,0.00139086681316
思想说,0.000162569207318,1.67252897829e-05
朱军99,0.000771749681218,0.000260876221442
冯唐,0.000582228945016,0.00010863728508
亦舒,0.000257249893739,2.66588839429e-05
李银河,0.00129945548784,9.92880570311e-05
朱丹,0.00180074925618,0.00099970814786
姜岚昕,0.00643890668835,0.000449193466391
王冉,0.0155416173825,0.00374514112108
罗昌平,0.0299021601485,0.0149349231607
宋鸿兵,0.0232519023229,0.00435996177736
老徐时评,0.000831552682523,2.70537610601e-05
唐骏,0.000217931291015,1.79555033515e-06
杜海涛,0.00107803115156,0.00307072151561
赵普,0.00533603548679,0.00171925155723
路金波,0.00027806095852,0.000717100640243
周立波,0.000218069039739,0.00394453318404
胡兵,0.00169059409224,0.00139893888909
经纬张颖,0.000467581694722,4.45810085293e-05
