1|Joe Warren
1|Scott Rixner
1|John Greiner
1|Stephen Wong
2|Al Filreis
3|Dan Ariely
4|Karl T. Ulrich
5|Peter Struck
6|Dan Klein
6|Pieter Abbeel
7|Andrew Ng
8|Arnold Weinstein
9|Robert Ghrist
10|Dan Grossman
11|Martin Odersky
12|Kevin Werbach
13|Susan E. Alcock
14|Christian Terwiesch
15|Philip Zelikow
16|Tim Roughgarden
17|Pascal Van Hentenryck
18|Mitchell Duneier
19|Andrew Erlichson
20|Umesh Vazirani
21|Anant Agarwal
21|Chris Terman
21|Gerald Sussman
21|Piotr Mitros
21|Khurram Afridi
22|Sebastian Wernicke
23|Michael S. Roth
24|Elsa Barkley Brown
25|Benjamin Abella
26|Dan Boneh
27|Michael Beach
27|Michael J. Sandel
28|David Evans
29|Jennifer Widom
30|Scott Higgins
31|Jennifer Campbell
31|Paul Gries
32|Charles Severance
33|Steve Huffman
34|Dan Jurafsky
34|Christopher Manning
35|Scott E. Page
36|Mohamed Noor
37|Ani Adhikari
37|Philip B. Stark
37|Paul Matsiras
38|Sebastian Thrun
38|Peter Norvig
39|Edward D. Hess
40|Don H. Johnson
41|Paolo Prandoni
41|Martin Vetterli
42|Julie Sliva Spitzer
43|Robert S. Lawrence
43|Keeve Nachman
44|Zuzana Bic
45|Dwight Merriman
46|Charles W. Clark
46|Victor Galitski
47|Ani Adhikari
47|Philip B. Stark
48|Alex Aiken
49|Eric Rabkin
50|Keith Devlin
51|Andrew Szegedy-Maszak
52|Ronen Plesser
53|Robert Sedgewick
53|Kevin Wayne
54|Codecademy
55|Nick Feamster
56|Idan Segev
57|Jennifer Campbell
57|Paul Gries
58|David Evans
59|Eric S. Lander
59|Professor Graham Walker
59|Michelle Mischke
59|Brian White
59|Mary Ellen Wiltrout
60|Sam Shelton
61|Earl Francis Cook
61|Marcello Pagano
62|Jerusalem Makonnen
63|Peter Norvig
64|Rosemary Redfield
65|Leticia Britos Cavagnaro
66|Simona Socrate
66|Alexie M. Kolpak
66|Sandeep Kumar
66|Kun Qian
67|Codecademy
68|Magnus Egerstedt
69|Jeremy Adelman
70|Sue Dowson
71|Eric Haines
72|Codecademy
73|Karen R. Charron
73|Amber Bickford Cox
74|Frankie Madden
75|Steve Everett
76|Rishi Desai
77|Aaron Bernstein
78|Haldor Aamot
79|Kelly Vetter
79|Sue Ann Austin
80|Mark Lassoff
81|Leonard E. White
82|Catherine R Lucey
83|Jo-Anne Murray
84|Kimberley Sessions Hagen
85|David E. Pritchard
85|Colin Fredericks
85|TA1
85|TA2
86|Shuai Zhang
87|Michael Kearns
88|Henry A. Lester
89|Daphne Koller
90|John Guttag
90|Chris Terman
90|Eric Grimson
91|Westley Weimer
92|Thaddeus Hogarth
93|Armando Fox
93|David Patterson
94|Steve Blank
95|Nick Parlante
96|Robert Sedgewick
96|Kevin Wayne
97|Susan Snycerski
97|Greg Feist
98|John Steven Hutchinson
99|Roger Coke Barr
100|Rob A. Rutenbar
101|Sarah Eichhorn
101|Rachel Cohen Lehman
102|Jeff Leek
103|Sebastian Thrun
104|
105|Charmaine Williams
106|Jean-Paul Restoule
107|William Brieger
108|Scott Klemmer
109|Celine Caquineau
109|Mayank Dutia
110|Sebastian Thrun
111|Arvind Krishnamurthy
111|David Wetherall
111|John Zahorjan
112|Charles Cockell
113|Kristin Sainani
114|S. George Djorgovski
115|Michael Cima
116|Geoffrey Hinton
117|Michael Collins
118|Michael Littman
119|Codecademy
120|Jrn Loviscach
121|Esther Duflo
121|Abhijit Banerjee
122|Walter Sinnott-Armstrong
122|Ram Neta
123|Gaetano Borriello
123|Luis Ceze
124|Tim Roughgarden
125|Ani Adhikari
125|Philip B. Stark
125|Paul Matsiras
125|Gordon A. Heaton
126|Lisa Dierker
127|Irfan Essa
128|Guillermo Sapiro
129|Raoul Mulder
129|Mark Elgar
130|Andrew Conway
131|Jeffrey Ullman
132|Jose J. Vazquez-Cognet
133|Nathan Kutz
