201409015325665 	南华早报 	EDT13| EDT  	Pain of stasis 	"         没有文字档。    "
201409055305251 	大公报 	A20| 专版  	坚决支持和拥护 全国人大常委会对香港政改的决定 	"          一、本会坚决支持全国人大常委会关于香港特别行政区行政长官普选问题和2016年立法会产生办法的《决定》。 二、《决定》是香港民主政制发展的重要里程碑，对保障香港长期繁荣发展意义重大。 三、本会全力呼吁立法会全体议员明辨是非，把握契机，支持全国人大常委会作出的决定，落实及通过政改方案，避免政制原地踏步。 四、本会强烈反对任何个人或团体组织推动类似「占中」的违法行为，停止内耗，向实现民主普选方向前进。 「反对占中」 香港同安联谊会 创会会长：李仲树   理事长：洪顶超 监事长：李义南   常务副理事长：吴清焕 暨全体理监事 二零一四年九月五日    "
201409165304250 	大公报 	B02| 经济．航运  	粤投1.8亿入股中超 	"          【大公报记者毛丽娟深圳十五日电】中国水业（01129）与粤海投资（00270）旗下的粤海水务（香港）今日在深圳签订策略性合作协议，粤海水务（香港）向中国水业购入旗下中超投资的70%的股权及70%债项，总代价1.75亿人民币（约2.2亿港元）。出售股权后，中国水业集团仍占中超投资的30%权益。 中超投资实际拥有海南儋州自来水公司、儋州联顺通自来水管网公司及儋州清泉水质监测公司各100%股权。中国水业主席兼行政总裁王德银表示，透过本次股权的收购企业重组，与粤海水务加大投资规模，共同推动儋州市供水事业发展。 王德银透露，双方达成了更深入的策略性合作协议，中国水业会跟随粤海水务在海南投资更多项目。他并指，儋州已被纳入海南省西部开发的战略中，住房开发、高铁以及机场的建设已经拉开大幕，料未来数年都是基建投入的密集期，而邀请具有强大现金流的粤海水务加入，是希望双方有机会投资更多国内供水项目。    "
201409300050105 	文汇报 	B04| 地产新闻  	提早开标 信置高价夺粉岭地 中标价7.3亿 呎价区内新高 	"          香港文汇报讯 (记者 颜伦乐) 地政总署昨日突然提早开标，较平日三个工作天的处理时间提早两天。该署公布，粉岭联和墟地皮由信置以7.3亿元投得发展，按卖地规定，项目可提供总楼面为20.99万方呎，将提供最少250个中小型单位及100个公众停车位。测量师指，成交价高出市场预期上限6%，成交价属合理。而每呎楼面地价为3,478元，创出粉岭区内新高。 地政总署过往一贯做法，须要约三个工作天处理招标事宜，故一般预计开标时间为本周三，但该署昨日一反常态，提早于周一公布，较原订时间提早两天。业内人士指，政府或因应周三为十一国庆假期，加上最近的「占中」行动影响，故提速处理招标工作。 黄志祥：对港前景充满信心 项目上周收到23份标书，反应非常理想，信置最后以高价击败一众对手，集团主席黄志祥表示，集团对香港的前景充满信心，认为充满发展良机，会继续策略性地增加具发展潜力的土地储备，继于香港投资。联和墟项目位置优越，区内发展成熟，交通便利，落成后将提供优质住宅单位、商铺及停车场。 信置上周投标时曾表示会独资发展地盘。黄志祥又提到，集团于月初已投得市建局至今开展最大型重建计划「观塘市中心计划」的第2区、3区项目，该项目将提供约2,000个住宅单位。整个观塘市中心计划落成后将包括酒店、商场、商业大楼及住宅，成为大型综合发展计划。 楼面地价3478元超预期 综合市场资讯，测量师对地皮估值由5.25亿元至6.93亿元，楼面地价约2,500元至3,300元。故今次成交价7.4亿元，楼面地价为3,478元，高出市场预期上限6%，地皮并创下同区楼面地价新高纪录，较2010年9月底新地投得的粉岭楼路地皮约3,029元的旧纪录更高，高出约14.8%。 资料显示，粉岭联和墟联兴街、和丰街与联盛街交界住宅地皮，占地约30,441方呎，可建楼面209,909方呎，其中最多7.4万方呎的商业楼面中，须兴建100个公众停车位。项目设限量条件，日后提供单位数目不得少于250个，而扣除商业楼面后，项目住宅楼面约135,885方呎，即平均单位面积约544方呎。 理想城市集团企业估值部主管张圣典表示，成交价只高出市场预期上限仅6%，已属于合乎预期。他说，虽然地盘兴建100个公众车位，对地价有所影响，但估计信置已考虑该因素，日后可以用内部资源作出平衡。再者，地盘所处的粉岭区供应不多，区内有需求，日后卖价亦有保证。 对于日前发生的「占中」行动，张氏称短期一定对市场有心理影响，但要视乎行动的长短，若长时间「占中」，甚至演变成香港与中央的长期斗争，影响就会增加，但香港人相当理性，目前谈情况恶化仍为时尚早。    "
201409290320076 	东方日报 	B12| 产经  	星湾御累收逾2200票 	"          多家发展商表示，新盘部署暂未受到「占中」影响，恒地（00012）马鞍山迎海?星湾御累收逾2,200票，周六如常卖楼。另新地（00016）将军澳天晋IIIA，开售迄今不足一个月，速沽820伙，套现约72亿元，项目日前轻微提价加推112伙，定价由480.1万元起。 恒地林达民（中）称，迎海?星湾御会如常于周六卖楼，已就「占中」作后备方案应对。左为楼盘嘉宾吴嘉龙，右为贝安琪。 天晋IIIA加推112伙 恒地营业（一）部总经理林达民称，迎海?星湾御截至昨午三时半收票2,210张，超额认购逾10倍，若以每日录约500张票进度，预计有机会录约4,000个认购登记，而首批194伙下月四日开售，「占中」行动暂对该楼销售计划无影响，并料第二张价单会紧接开售日公布。 新地雷霆（左）表示，天晋IIIＡ迄今累售八百二十伙。右为新地代理陈汉麟。 新地副董事总经理雷霆表示，天晋IIIA迄今累售820伙，日前加推全新112伙，包括100个一房户及12个两房户，价单显示与之前单位的价格差异，属楼层及景观不同所致。 价单显示，上述加推单位，售价介乎480.1万至775.7万元，呎价14,374至16,783元。新地代理助理总经理陈汉麟称，该盘的2B座33楼A室连天台户以3,166.6万元售出，呎价25,745元，同创项目新高；另一家庭买家以约2,253.21万元购入两伙。 至于新世界（00017）北角柏傲山，昨日第二天开放位于上环的示范单位予公众参观，反应踊跃。另刚过去的周六、日新盘累售约185伙。 嘉里建设（00683）何文田傲名原定今日的记者会，发展商表示因示范单位进度而取消。    "
201409300010113 	香港商报 	A10| 投资分析| 股海追踪| By 蔺常念  	炒壳股秘诀 	"          九月份环球利率上升，内地经济数据转弱，加上9月28日开始占中，令港股寻底。恒指昨日急挫，香港地产股跌幅最大。由于十一黄金周展开，零售受严重影响，珠宝手表零售等跌逾4%。酒店业同样受拖累。     港股以往曾受多次股灾及突发事件冲击，每次都能化险为夷，相信这次也一样。过去的股市危机，如1987股灾、1989六四、1997亚洲金融风暴、2003年沙士及2008年全球金融海啸，香港都能短期反弹。香港依赖的经济基础，金融业、运输业都没有受影响，股市没有停下来，新股上市照样招股，外汇交易，期货交易如常进行。反而占中令港股跌至23000边，投资者可趁低吸纳。     大股东庄家持有9 成股份     港股9月大幅调整，连一些炒股也受拖累。上周笔者曾指港股妖股化，一些买壳股份在一个月内没有任何实业及基本因素支持下，狂升几倍。最明显是中国天然气(931)、中盛(2623)等一个月内升3倍或以上。有些报章指，这些公司根本没有业务只是泡沫。这些股份都是壳股，新股东入主后，注入新项目。很多时只是计划或是协议书，有待落实。这些股份都是货缘归边，大股东及庄家持有9成以上股份，容易操控股价。由数毫子价位炒上，由于炒家控制大部分流通股份，股价容易被炒上。很快散户加入炒卖，这时股价飙升，可一个月升几倍。一个几亿元市值的壳股，很快炒至市值几十亿元。这时一些专业炒家加入炒作，壳价市值可由几十亿元炒到一百亿元以上。     壳股开始炒上时，市场庄家只需几千万的资金便可以围到票，把股价一段一段炒上，每日的交易成本也只是几万元，如果有散户沽货也有足够资金接货，股价不会大崩塌。但危机就来了，市场庄家现需要十倍以上资金维持市场秩序。因为有散户及其他炒家加入，大股东和市场庄家持股比例从90%降至80%或者70%。这时只需一个大散户或者大炒家沽尽手上的货便会令股价崩盘。一个大户沽货便产生骨牌效应，这时市场庄家需动用几亿元才能接大炒家的沽盘，维持股价不会一下子崩塌。这根本是一个数学问题，当一只股炒高几倍时，庄家需要十倍资金维持秩序。但市场庄家多数没有足够资金，只是靠从证券商孖展借钱来维持股价。当股价过高，泡沫化时，只有一些不利消息，市场庄家便没有能力维持秩序。当散户跟风炒壳股时，要明白这些股份都没有基本因素支持，只是炒高获利。泡沫一定会爆破。投资者不要盲信庄家散播的好消息，当股价急挫时一定要沽货，走为上着。     智易东方证券行政总裁蔺常念(作者为证监会持牌人)逢星期二刊出    "
201409160040016 	明报 	A22| 教育| By 刘锦辉  	时事通识教材 	"          文：通识科教师刘锦辉漫画创作：梁浩铨 时事焦点：黑布游行涉及单元：今日香港概念词汇︰不合作运动（Non-cooperation movement） 考考你 「和平占中」即将启动，昨日举办「黑布行」热身。游行没此起彼落口号、亦没政党旗帜飘扬，参加者手持黑布由铜锣湾慢行至中环，表明对政府失信愤怒、坚决占中。占中发起人戴耀廷表示，没动员市民下仍有数千人参与，人数超过预期的1000，相信参加者都是占中核心支持者，有信心占中时会有1 万人。学联表示，港人不会认命，声言7 月2 日占领遮打道掀起公民抗命序幕，不合作运动将陆续有来。资料来源：《明报》，2014 年9 月15 日 问题 讨论不合作运动在香港继续出现的可能性。 将会此起彼落！我们可以做的还有很多，罢课、罢交税、霸占道路……总之就是继续抗争，直至有真正的普选为止。 但别忘记，不合作运动其中一个重点是非暴力，但上回冲击立法会事件，着实令人怀疑统领者是否可以驾驭一群热血市民，在完全和平的情况下抗争。 此外，香港人都是比较务实，重视日常生活；所以短期的不合作尚且有可能，但要长期抗争直至改变，恐怕支持的人有限，最终不了了之。这样虎头蛇尾很难看啊！    "
201409305305767 	am730 	A62| 娱乐  	王敏德担心香港会暴乱 	"          王敏德(Michael)与女儿王曼喜，昨日坐直升机现身东莞出席高尔夫球赛发布会，同场还有名模Jocelyn和其夫Anthony，Michael同王曼喜同落场练习高球，王曼喜说：「平时好少打高尔夫球，只系8年前曾同爸爸一齐参加高尔夫球父女赛。」 对于「占中事件」，Michael说：「噚晚睇咗成晚电视新闻，一直留意事件嘅发生，我觉得香港人一向好和平，不过今次状况唔同，好担心香港嘅未来，因为我全家都系香港人，唔想香港出现暴乱情况！」Michael又指，其实每个人都想争取最好的权利同民主，希望中央同香港政府关注市民诉求，提供解决方法。     "
201409264480062 	英文虎报 	P08| Top News| By Imogene Wong  	Occupy fears trim benchmark 	"          Hong Kong shares skidded to  their lowest close in more  than nine weeks yesterday  and more losses were likely to  ensue today as the Dow Jones  Industrial Average was down  more than 200 points in  morning trade.  The Hang Seng Index  yesterday pared gains due to  selling on concerns over  unrest as pro-democracy  activists prepare for their  Occupy Central campaign next  month, ending down 0.6 percent at  23,768.13 points, the weakest close  since July 21.   The benchmark index closed 153  points lower after rising 137 points in  the morning session.   The China Enterprises Index of  the leading offshore Chinese listings  or the H shares fell 0.7 percent.  Macau gaming shares led the  downturn as its revenue outlook for  the upcoming Golden Week holiday  starting October 1 appeared bleak.   Galaxy Entertainment Group  (0027) sank 3.5 percent to a one-year  low of HK$46.35. Macau's casino  junket operators are feeling the  squeeze as China's anti-corruption  drive has blown a hole in the world's  biggest gambling hub.   Packaging material makers  China Packaging (0572), China 3D  Digital Entertainment (8078) and  mining firm China Zhongsheng  Resources (2623) all slumped more  than 10 percent. This came after the  Hong Kong Exchanges and Clearing  (0388) reiterated that a launch date  for a cross-border stock trading  scheme was yet to be confirmed.  Ample Finance fund manager  Alex Wong Kwok-ying expects the  HSI to fell below 23,500 , amid  outflows from emerging markets.   Also, the People's Bank of China's  draining 18 billion yuan (HK$22.75  billion) drain from the money  markets through its 14-day bond  repurchase deals tightened  liquidity, Wong said.  Castor Pang Wai-sun, research  head of Core-Pacific Yamaichi, said  the index is close to bottoming out,  but short-term surge is unlikely.  imogene.wong@singtaonewscorp.com     "
201409135304499 	大公报 	A08| 要闻  	谭耀宗鼓励港人发声撑普选 	"          【大公报讯】记者张媞报道：全国政协委员、民建联主席谭耀宗昨日在「闽港合作共圆中国梦」论坛上指出，特区政府将于下个月18日展开第二轮政改公众谘询，他希望新界各界继续在基本法和全国人大常委会对普选的决定下，提供具体的建议。他鼓励港人继续发声支持「一人一票」的普选，并呼吁反对派立法会议员尊重民意，勿用「占领中环」破坏香港的繁荣稳定。 中央善意反对派不领情 谭耀宗昨日以「支持全国人大常委会关于香港政改问题的决定，团结实现普选」为主题发表演讲。他表示，人大常委会已就本港政改作出决定，现时须经三分二立法会议员通过，行政长官同意，并待人大常委会批准、备案，便可令500多万香港选民「一人一票」普选行政长官。他说，普选是香港政制的重要变化，中央于起草基本法时，已承诺香港最终可以普选，并在2007年制定普选的时间表，特区政府去年12月启动首轮政改公众谘询后，中央负责政改的官员更亲自听取本港各界的意见和建议。 谭耀宗续谓，反对派对中央多番释出善意并不领情，甚至扭曲人大常委会8月31日公布的决定，有关做法「完全不对」。他批评反对派以发动「占领中环」，瘫痪本港经济作要挟，并拒绝在立法会通过政改方案。他表示，人大常委会的决定「合情、合法、合理」，有利于本港未来的发展，他希望香港各界继续发声，要求反对派立法会议员尊重民意，做出对500多万选民负责的选择。 「筑梦之旅」专列团本月6日已于新界乡议局大礼堂发表倡议书，表明全力支持全国人大常委会对香港政改的决定。倡议书表示，人大决定的法律效力不容置疑，决定符合国家根本利益与港人的长远利益，有利于停止政治争拗，防止民粹主义泛滥，以及凝聚共识，达至普选。新界各界亦坚决抵制和严厉谴责任何对抗中央、阻碍主流民意与违法的「占领中环」行动，促请全体立法会议员支持政改向前走。    "
201409300040006 	明报 	A14| 港闻  	4间银行员工酝酿罢工 	"          学联前日呼吁全港市民罢工罢市，太古可口可乐约80 至100 名运输车队员工昨日响应，表明不满警方暴力对付示威者。另外，多个工会宣布发起罢工，亦有观塘工厦餐厅响应罢市，昨停业一天。 太古可乐100 运输工响应罢工昨日facebook 上有人成立名为「全港接力大罢工」的群组，至今已有26,300 多人点赞。该组群采用「五人成行罢工法」，即有意罢工的人发送公司及个人联系信息予组群管理员，一旦同一间公司超过5 人，管理员即会分享5 人联系方式，使其成为公司罢工社交媒体的联系人。 恒生执董称不知情 根据群组显示，目前包括恒生、中银、渣打、星展等多家公司的员工已「成团」，不过，恒生执行董事冯孝忠昨日表示对罢工不知情， 而截稿前，恒生银行发言人仍未回覆本报有关罢工的查询。 太古可口可乐香港表示， 公司有1200 名员工，昨约有80 至100 名运输车队员工罢工，早上在小沥源厂房外静坐，据了解，有关行动是呼吁工会以罢工支持「占领中环」抗议，属员工自发行为，公司尊重及不干预员工表达意见的自由和权利，并已为送货服务作出相应安排。 参与罢工、太古饮料职工总会副会长余振森表示，前日在金钟参与集会时，目击警方施放雇泪弹感到愤怒。他称，昨早8 时有200 名员工同意罢工，但因属自愿性质，部分人或重返工作岗位，另有100 人按章工作。该会长陈庆龙表示，连同昨日计算，初步打算罢工两天。 多个工会宣布发起罢工 另外，码头工人、香港中文大学员工总会、迪士尼乐园职工会、基督教女青年会员工协会、基督教女青年会员工协会、明爱员工会、神托会社会服务部职工会及香港家庭福利会职工会昨发起罢工。苹果香港员工发信予美国的公司行政总裁Tim Cook，呼吁他声援本港市民。 迪士尼表示，暂未收到工会信息，会因应情况调配人手，并劝喻演艺人员如欲申请临时休假，须向团队领袖提交申请及批核。 围板防冲击 昨日中环和金钟多幢商业大厦及银行总行加强保安，如图中建设银行大厦门外便架起木板以防冲击，门外有保安把守。图为大厦职员昨在门外指引上班者入内。（明报记者摄）    "
