day,time_sum,unique_user_num,unique_book_num
20161006,7.16929232436e+11,59079,24956
20161125,7.40605069078e+11,75345,29383
20161105,8.53068505124e+11,77792,29038
20161109,7.97444340671e+11,76636,28537
20161204,7.65202763283e+11,74531,31114
20161023,7.77620727758e+11,69452,26083
20161114,8.35714912645e+11,78452,29579
20161018,6.98865583011e+11,63750,24926
20161212,6.24834816417e+11,69450,28173
20161028,7.91631455842e+11,72367,26500
20161129,7.14949294403e+11,73555,29394
20161207,7.03830818868e+11,72206,29230
20161126,7.6619733429e+11,75946,30541
20161027,8.13142836099e+11,70911,26088
20161024,7.49821475302e+11,68444,24984
20161003,6.43164477619e+11,56321,23063
20161017,6.89797309361e+11,63093,24987
20161214,3.72020720354e+11,54776,20695
20161009,6.50943107107e+11,58760,23305
20161014,6.65049222861e+11,61197,24764
20161127,7.75639136008e+11,75283,30135
20161209,7.07304924249e+11,72578,29699
20161203,7.58817069321e+11,76028,31224
20161111,7.18508049327e+11,76452,28425
20161202,6.9460847476e+11,75021,29670
20161218,6.9072307787e+11,69990,30097
20161029,7.97640218499e+11,72787,27291
20161102,7.9009437885e+11,73567,27078
20161012,6.69164290586e+11,59893,24143
20161115,8.07943636043e+11,77492,29007
20161112,8.29118312663e+11,78980,30254
20161011,6.59314353391e+11,59412,23603
20161110,7.61506116978e+11,75662,28696
20161021,4.24086636073e+12,68692,25303
20161019,7.296172971e+11,65252,26209
20161031,7.74383200597e+11,71740,26396
20161217,6.59335044556e+11,70394,29993
20161107,7.9363039298e+11,77300,28108
20161020,7.55441199228e+11,66851,26202
20161022,9.59654490444e+11,70713,26675
20161130,6.7285080005e+11,71686,28453
20161206,7.20796375897e+11,73060,29557
20161123,9.24659830694e+11,76121,29922
20161108,8.56067283315e+11,77946,29371
20161122,7.71211172648e+11,76065,29959
20161103,7.95637377277e+11,73893,27348
20161117,7.95762764953e+11,77101,29238
20161016,6.93005991855e+11,62609,25033
20161215,9.18683891886e+11,76564,33936
20161219,6.38500674525e+11,68202,28982
20161113,9.00054200644e+11,79319,30222
20161001,6.20309085845e+11,54218,22339
20161116,8.20892582181e+11,78145,30097
20161210,7.02458989646e+11,73090,30749
20161007,7.22934769799e+11,60857,26776
20161002,6.08381273338e+11,55742,23065
20161013,6.82859178222e+11,60924,24440
20161026,7.46280297355e+11,69899,25381
20161119,8.11070713735e+11,78852,31523
20161106,8.89114343415e+11,78439,29702
20161216,6.43806636114e+11,69871,28552
20161004,6.68843213108e+11,57996,24779
20161030,8.0961191672e+11,72407,27693
20161101,7.63083772489e+11,72178,26381
20161025,7.63621439188e+11,68787,25158
20161010,6.5803857382e+11,59425,22784
20161005,6.62034332322e+11,58441,24867
20161220,6.66637571139e+11,68869,29628
20161121,7.91150676382e+11,76641,30412
20161015,670576545262,62118,25761
20161213,6.56126919143e+11,69968,28025
20161211,7.17812467898e+11,72368,30325
20161008,6.63716669656e+11,59060,23902
20161118,7.87657350473e+11,77665,29605
20161124,7.47358126952e+11,74534,29169
20161208,7.03793091892e+11,71986,29526
20161201,7.14286338734e+11,74001,30125
20161104,5.69490269518e+12,76165,27596
20161205,7.05484956502e+11,73044,29602
20161120,8.19342681596e+11,78241,31568
20161128,8.90370687544e+11,73993,29108
