"Twitter ID",Text,"Profile Image URL",Day,Hour,Minute,"Created At",Geo,"From User","From User ID",Language,"To User","To User ID",Source 
121813144174727168,"RT @AnonKitsu: ALERT!!!!!!!!!!COPS ARE KETTLING PROTESTERS IN PARK W HELICOPTERS AND PADDYWAGONS!!!! #OCCUPYWALLSTREET #OWS #OCCUPYNY PLEASE RT !!HELP!!!!",http://a2.twimg.com/profile_images/1539375713/Twitter_normal.jpg,2011-10-06,5,4,"2011-10-06 05:04:51",N;,Anonops_Cop,401240477,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813146137657344,"@jamiekilstein @allisonkilkenny Interesting interview (never aired, wonder why??) by Fox with #ows protester http://t.co/Fte55Kh7",http://a2.twimg.com/profile_images/1574715503/Kate6_normal.jpg,2011-10-06,5,4,"2011-10-06 05:04:51",N;,KittyHybrid,34532053,en,jamiekilstein,2149053,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813150000619521,"@Seductivpancake Right! Those guys have a victory condition: regime change. #ows doesn't seem to have a goal I can figure out.",http://a1.twimg.com/profile_images/1241412831/nerdsherpa_Jim_Brooks_normal.jpg,2011-10-06,5,4,"2011-10-06 05:04:52",N;,nerdsherpa,95067344,en,Seductivpancake,19695580,"&lt;a href=&quot;http://www.echofon.com/&quot; rel=&quot;nofollow&quot;&gt;Echofon&lt;/a&gt;" 
121813150701072385,"RT @bembel &quot;Occupy Wall Street&quot; als linke Antwort auf die Tea Party? http://j.mp/rhHavq #OccupyWallStreet #OWS",http://a0.twimg.com/profile_images/1106399092/homer_roentgen1_normal.jpg,2011-10-06,5,4,"2011-10-06 05:04:52",N;,hamudistan,35862923,en,,0,"&lt;a href=&quot;http://levelupstudio.com&quot; rel=&quot;nofollow&quot;&gt;Plume  &lt;/a&gt;" 
121813163778899968,"#ows White shirt= Brown shirt.",http://a2.twimg.com/profile_images/1568117871/-Love_is_Freedom_normal.jpg,2011-10-06,5,4,"2011-10-06 05:04:56",N;,kl_knox,419580636,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813169999065088,"RT @TheNewDeal: The #NYPD are Out of Control. Is This a Free Country or a Middle-East Dictatorship? #OccupyWallStreet #OWS #p2",http://a2.twimg.com/profile_images/1344925102/image_normal.jpg,2011-10-06,5,4,"2011-10-06 05:04:57",N;,vickycrampton,32151083,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813190454689792,"1912 prediction re: founding of #Fed : Then we shall have only corporate currency...a soulless corporate republic. #ows http://t.co/MlIS5oln",http://a2.twimg.com/profile_images/1362909408/hollerith_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:02",N;,burgerbuilders,143597105,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813195924058113,"Wall Street Protests Marred by Anti-Semitism http://j.mp/owgOvF #OWS",http://a2.twimg.com/profile_images/1497877873/logo2_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:03",N;,neverfox,363594381,en,,0,"&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;" 
121813197404639232,"#OWS @cynthiaboaz 8 rules for Satyagrahi activism. Gene Sharp influence is clear @genesharpfilm http://t.co/BgfoiF19",http://a3.twimg.com/profile_images/1508918940/Headshot_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:04",N;,davidgaliel,19105658,en,,0,"&lt;a href=&quot;http://twitterrific.com&quot; rel=&quot;nofollow&quot;&gt;Twitterrific for Mac&lt;/a&gt;" 
121813198935560192,"RT @ForseenUnNamed: Btw.  Welcome to day 20 #ows.  Stay strong.",http://a3.twimg.com/profile_images/1568182911/21135_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:04",N;,AnonOws,417383736,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813202475556864,"RT @tinadupuy: The is what happens when you protest power. The tea party was an audience to power...that's why they didn't get maced. #ows",http://a2.twimg.com/profile_images/1180369332/For_those_about_to_rock_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:05",N;,ryanjnagle,161516982,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813209370992640,"RT @UnderdogLib: We ALREADY pay debit card &quot;user fees.&quot; Stores pass on to consumers the fees banks charge THEM when we swipe our debit cards. Get it? #OWS",http://a0.twimg.com/profile_images/1479525543/Janis_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:06",N;,JanSKay,3309375,en,,0,"&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;" 
121813209459073025,"http://t.co/tsUARoAm  Reports not confirmed police telling camp they will give them a choice later to night to leave of get arrested #OWS",http://a1.twimg.com/profile_images/1536904281/6018349358_ec24d698d7_m_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:06",N;,alyssa011968,60158320,en,,0,"&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;" 
121813232523558912,"@AnonyOps @danielhewitt  Wow. Self-defense is obviously needed to protect all the #ows protesters. Don't forget ski goggles for mace in face",http://a2.twimg.com/profile_images/1100137056/zen_lotus_floats_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:12",N;,fresh__air,131619446,en,AnonyOps,196631316,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813245488140288,"@HumanityCritic i'm worried that the #ows sells out to the hamsher-norquist spitefuck, and tries to unite with the teahad.",http://a2.twimg.com/profile_images/627683576/flytits_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:15",N;,fucentarmal,27480502,en,HumanityCritic,230431,"&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;" 
121813246519934976,"RT @anonops: The New Hashtag is #OWS -- #OccupyWallStreet no more. RT please.",http://a1.twimg.com/profile_images/1567149924/165102_750232146682_8109084_41131659_8124131_n_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:15",N;,msaf,14339359,en,,0,"&lt;a href=&quot;http://blackberry.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Twitter for BlackBerry®&lt;/a&gt;" 
121813249531445249,"RT @OccupyWallSt: Let's stop the hash tag soup and use #ows  for OccupyWallStreet",http://a2.twimg.com/profile_images/1534521122/image_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:16",N;,Seekadoo2,35067122,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813250131230720,"RT @TheNewDeal: Why is it easier to believe that 150,000,000 Americans are being lazy than 400 Americans are greedy? #OccupyWallStreet #OWS #p2",http://a2.twimg.com/profile_images/1493899546/124192_normal.png,2011-10-06,5,5,"2011-10-06 05:05:16",N;,Jay_in_Omaha,387082431,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813263557206016,"RT @KevDGrussing: RT @OccupyMainSt: #JonStewart says: #Media coverage of #OWS has gone from #blackout to circus. #TruerWords...",http://a1.twimg.com/profile_images/1034197140/IMG_6015-1_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:19",N;,starshollowgzt,124658614,en,,0,"&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;" 
121813264547053568,"RT @LJSearles: #OWS with Errol Louis - Countdown with Keith Olbermann - YouTube - http://t.co/Fh8JEdpN #p2 #tlot",http://a3.twimg.com/profile_images/1512099198/obama_2012_1_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:20",N;,TopCat_TC,166981885,en,,0,"&lt;a href=&quot;http://www.shareaholic.com&quot; rel=&quot;nofollow&quot;&gt;shareaholic app&lt;/a&gt;" 
121813265503371264,"RT @OccupyMainSt: #JonStewart says: #Media coverage of #OWS has gone from #blackout to circus. #TruerWords...",http://a1.twimg.com/profile_images/1572652225/Vase__2__normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:20",N;,ElizabethBrossa,403517483,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813280468647936,"RT @BlueDuPage: Wow!  // Keith Olbermann reads the first collective statement of Occupy Wall Street   http://t.co/2xZqgQBG  #ows  #4jobs #2futures",http://a0.twimg.com/profile_images/1256947053/med_explorers_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:23",N;,dpfournier,239111438,en,,0,"&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;" 
121813283987656704,"RT @OpWallStreet: Police Use Pepper Spray And Batons On Protesters - At Least Twenty Arrested  - #OccupyAmerica #OWS http://t.co/0TZRguWr",http://a0.twimg.com/profile_images/1569372332/profile_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:24",N;,ReTweetAgain,402773412,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813284704882688,"@LibertyBelle4 LOL! Its sneaking up on a lot of people, but I', sure not you. #OWS has my undivided atention as well #OccupySD",http://a2.twimg.com/profile_images/1289045927/BWfrontProfile_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:24",N;,Leoslaire,195097735,en,LibertyBelle4,99980181,"&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;" 
121813300936847360,"RT @Anon_is_you: @AnonyOps Another view of the baton white shirt from tonight.  Actually beats a reporter while recording http://t.co/uIFIiuPl #ows",http://a0.twimg.com/profile_images/1561102574/me20110925facecrop_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:28",N;,tommymiles,2784819,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813303721865216,"RT @TheNewDeal: It is Unconstitutional to Limit Free Speech &amp; Right to Assemble. Police Should Enforce Law, Not Be Above it. #OccupyWallStreet #OWS #p2",http://a0.twimg.com/profile_images/1218760919/DSC00263_normal.JPG,2011-10-06,5,5,"2011-10-06 05:05:29",N;,Perlins,14066321,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813304359391232,"RT @OccupySF: We just received this notice from the City police - http://t.co/A8EwJ24Y | Please come to the camp immediately. We need everyone! #OWS",http://a0.twimg.com/profile_images/1203678146/token_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:29",N;,SuzanneTwoTon,108300626,en,,0,"&lt;a href=&quot;http://cotweet.com/?utm_source=sp1&quot; rel=&quot;nofollow&quot;&gt;CoTweet&lt;/a&gt;" 
121813304619446272,"There is no date on the letter, nor author. It is not official. Call and leave a message NOW! Mayor Ed Lee (415) 554-6141 #OWS #OccupySF",http://a2.twimg.com/profile_images/1558507077/qrOsf_normal.png,2011-10-06,5,5,"2011-10-06 05:05:29",N;,OccupySF,412557114,en,,0,"&lt;a href=&quot;http://cotweet.com/?utm_source=sp1&quot; rel=&quot;nofollow&quot;&gt;CoTweet&lt;/a&gt;" 
121813306553020416,"Artist captured the truth of the incestuous flow of money within corporate America www.Theyrule.net #occupyWallSt #OWS #Occupy #solidarity",http://a0.twimg.com/profile_images/326662126/Photo_233_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:30",N;,k_l_h_j,382233343,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813307198930945,"RT @MMFlint: A cop and his nightstick: http://t.co/tkYzNlEf #OccupyWallStreet #99problems .@OccupyWallSt #OWS .@guardian",http://a0.twimg.com/profile_images/1375119558/IMG_0599-amnesty_normal.JPG,2011-10-06,5,5,"2011-10-06 05:05:30",N;,adpucci,25512610,en,,0,"&lt;a href=&quot;http://ubersocial.com&quot; rel=&quot;nofollow&quot;&gt;ÜberSocial for BlackBerry&lt;/a&gt;" 
121813309510004737,"RT @OccupySF: Sixty Department of Public Work's Trucks just showed up. Come now. Call media! #OccupySF #OWS",http://a2.twimg.com/profile_images/1570580747/image_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:30",N;,subiepick,373284386,en,,0,"&lt;a href=&quot;http://cotweet.com/?utm_source=sp1&quot; rel=&quot;nofollow&quot;&gt;CoTweet&lt;/a&gt;" 
121813318427099136,"#Hannity in 2009 on #TeaParty : Their outrage at corporate bailouts is freedom loving. On #OWS : Outrage at corporations = &quot;hating freedom.&quot;",http://a0.twimg.com/profile_images/1570379904/OccupyTogether_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:32",N;,OccupyMainSt,409786713,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813319890894850,"RT @OccupySF: We just received this notice from the City police - http://t.co/A8EwJ24Y | Please come to the camp immediately. We need everyone! #OWS",http://a1.twimg.com/profile_images/1270505227/bullshit_5511142728_922d49f351_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:33",N;,Tawanda46,41508384,en,,0,"&lt;a href=&quot;http://cotweet.com/?utm_source=sp1&quot; rel=&quot;nofollow&quot;&gt;CoTweet&lt;/a&gt;" 
121813337586675712,"Generation iPod vs. Corpocracy? I know, it's confusing, but it's fucking essential #ows",http://a2.twimg.com/profile_images/1562822412/16_normal.png,2011-10-06,5,5,"2011-10-06 05:05:37",N;,Sweatersworth,15034344,en,,0,"&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;" 
121813353759916032,"RT @TrueGilby: The pot has finally begun to boil over.The sleeping giant of the American people has shifted in its slumber. http://t.co/Q7SqHiAc #ows",http://a2.twimg.com/profile_images/1571873929/6a00d834516ae369e20134853cea49970c-800wi_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:41",N;,RowleyGirl_4,372486283,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813362723135488,"RT @Titleixbaby: #occupywallstreet Today the NYPD maced Fox News. I can't stop laughing. #ows",http://a1.twimg.com/profile_images/1034197140/IMG_6015-1_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:43",N;,starshollowgzt,124658614,en,,0,"&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;" 
121813363109019648,"RT @neverfox: Wall Street Protests Marred by Anti-Semitism http://j.mp/owgOvF #OWS",http://a0.twimg.com/profile_images/1555244867/passport_photo_altered_normal.jpg,2011-10-06,5,5,"2011-10-06 05:05:43",N;,yelbley,214217022,en,,0,"&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;" 
