website,reach,flowimpact
qq.com,0.6923689374824783,4291361.589720742
qpic.cn,0.4110569105691057,1298108.4149871226
baidu.com,0.3869470142977292,1700215.5338373762
qlogo.cn,0.33510513036164846,427408.6311827474
monternet.com,0.24895991028875805,66163.00265834207
apple.com,0.2448668348752453,313230.3165955521
360.cn,0.22675637790860667,518125.3561793171
umeng.com,0.15884496776002244,126210.42266796902
taobao.com,0.1232632464255677,617163.4063730038
gtimg.cn,0.11989907485281749,183422.86973037434
gtimg.com,0.1119708438463695,123153.57182520912
sogou.com,0.11178020745724698,194885.23337794762
sina.cn,0.10155312587608635,154941.24568903894
bdimg.com,0.10100364451920381,71415.44707498567
sinaimg.cn,0.09959069245864872,399252.1942166985
idqqimg.com,0.09704513596860107,44403.162337616544
ucweb.com,0.09434258480515839,220094.4455665844
duapp.com,0.0896776002242781,76717.21202091611
verisign.com,0.08451920381272779,53131.08337494953
weibo.cn,0.08427249789739277,216610.2391800396
google-analytics.com,0.07950658816932997,75880.89202342625
flurry.com,0.07382113821138211,65798.15967071931
google.com,0.07370899915895711,63009.57521542986
uc.cn,0.0736641435379871,65440.112036688086
sohu.com,0.06934679001962434,299929.41090343427
alipay.com,0.06163162321278385,79864.09546859318
sina.com.cn,0.05891785814409868,124399.13073372615
autonavi.com,0.05861508270255116,12935.02366248628
aliyun.com,0.05677600224278105,67795.39649495504
ijinshan.com,0.0544098682366134,106965.47942560901
taobaocdn.com,0.05262685730305579,202987.70282594825
mi-idc.com,0.052054948135688256,29068.140473013238
alicdn.com,0.05138211382113821,199722.43536480577
doubleclick.net,0.05026072329688814,63258.143800102785
renren.com,0.04847771236333053,176068.4874145368
xiaomi.com,0.048186150827025515,89320.24185847351
umeng.co,0.045158396411550325,22995.071143163583
91.com,0.044093075413512754,44127.105357745684
xiaomi.net,0.04380151387720774,145038.35984148429
baidustatic.com,0.04358844967760023,41119.1294400227
moji001.com,0.042523128679562656,28064.07456134777
wandoujia.com,0.04208578637510513,66309.21075172663
mmstat.com,0.04087468460891505,80148.00818656258
yahooapis.com,0.040280347631062516,18300.01751402377
soso.com,0.03919259882253995,42835.11563697715
youku.com,0.039091673675357444,75576.5118296046
youdao.com,0.03867675918138492,37146.21586011234
dianping.com,0.03745444350995234,44730.09300533909
amap.com,0.037387160078497336,84985.10951785525
kugou.com,0.03712924025791982,122745.19440816471
163.com,0.03691617605831231,181416.55408560482
cnzz.com,0.03595178020745725,58538.09453608655
iqiyi.com,0.035805999439304736,28169.11621163665
punchbox.org,0.035749929913092234,59081.239546588724
tanx.com,0.034830389683207175,71455.35669202445
irs01.com,0.03313708999158957,24972.446617956317
tbcdn.cn,0.03231847490888702,64430.37864519033
10086.cn,0.03161199887860948,48261.08363273142
lenovomm.com,0.03134286515278946,104806.14622599936
weibo.com,0.030759742080179422,51615.61939617733
duba.net,0.029705634987384356,83131.30653700628
baidu-2img.cn,0.029559854219231848,62041.1562941612
weather.com.cn,0.028270255116344265,25252.06194054091
bdstatic.com,0.028259041211101767,31952.164588739684
baidu-img.cn,0.027104008971124194,18773.066417155802
microsoft.com,0.027081581160639193,39219.081829828596
msftncsi.com,0.026487244182786654,32473.075259025132
admob.com,0.02609475749929913,15286.093385836917
itc.cn,0.025634987384356604,54089.55483313846
360buy.com,0.025096719932716567,57486.56834608053
qhimg.com,0.02508550602747407,81017.6510722658
dxsvr.com,0.02495093916456406,19376.05142484089
dianxinos.com,0.024098682366134005,6554.042187316069
url.cn,0.0240201850294365,12690.059360622114
domob.cn,0.023851976450798992,53725.15088268827
kuwo.cn,0.023784693019343987,59439.097652181605
baofeng.com,0.023291281188673955,53415.37134834537
qzone.com,0.02292122231567143,14107.034379428635
mapbar.com,0.022181104569666387,98560.11342087199
miaozhen.com,0.02190075693860387,16725.340590391505
360safe.com,0.021811045696663863,87281.36084624259
mmcdn.cn,0.02159798149705635,7945.217694605133
kuaibo.com,0.02145220072890384,29180.162175804126
xnimg.cn,0.02144098682366134,34395.37553353663
sinajs.cn,0.021205494813568825,50292.633270774524
googlesyndication.com,0.021059714045416317,10636.414353650533
scorecardresearch.com,0.020723296888141295,14472.407975490856
itunes.com,0.020510232688533782,2373.0
ykimg.com,0.020263526773198766,42456.2784555074
windowsupdate.com,0.020207457246986263,79583.16210955665
gpsonextra.net,0.01971404541631623,4095.007919927117
hiapk.com,0.01937762825904121,37519.13490164672
huaweidevice.com,0.018940285954583684,3658.0120865399786
edgesuite.net,0.018816932996916176,2325.0079370141
sdo.com,0.01877207737594617,33640.166866566564
gstatic.com,0.017852537146061116,14426.064815087293
rrimg.com,0.017572189514998598,28776.30484380881
ifeng.com,0.01743762265208859,64455.43796300832
3g.cn,0.017392767031118587,36587.05566451492
kuaipan.cn,0.01728062797869358,12178.040764350977
mediav.com,0.01695542472666106,26800.90620320873
igexin.com,0.01679843005326605,3055.004909539953
alimama.cn,0.016697504906083543,7163.34616633413
